Artist,Track,Album,Album_type,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_min,Title,Channels,Views,Likes,Comments,Licensed,official_video,Stream,EnergyLiveness,most_playedon
Pitbull,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)","Planet Pit (Deluxe Version)",album,0.671,0.939,-3.206,0.161,0.191,0,0.298,0.53,129.024,4.205116667,"Pitbull - Give Me Everything ft. Ne-Yo, Afrojack, Nayer",PitbullVEVO,1007596168,4265538,162078,TRUE,TRUE,777641580,3.151006711,Youtube
Pitbull,"Timber (feat. Ke$ha)","Global Warming: Meltdown (Deluxe Version)",album,0.581,0.963,-4.087,0.0981,0.0295,0,0.139,0.788,129.992,3.402666667,"Pitbull - Timber (Official Video) ft. Ke$ha",PitbullVEVO,1405539965,5671596,158456,TRUE,TRUE,1120973873,6.928057554,Youtube
Pitbull,"Time of Our Lives",Globalization,album,0.721,0.802,-5.797,0.0583,0.0921,0,0.694,0.724,124.022,3.822666667,"Pitbull, Ne-Yo - Time Of Our Lives",PitbullVEVO,253293371,1423079,25528,TRUE,TRUE,981156901,1.155619597,Spotify
Pitbull,"Feel This Moment (feat. Christina Aguilera)","Global Warming: Meltdown (Deluxe Version)",album,0.673,0.758,-3.632,0.158,0.039,0,0.341,0.542,135.956,3.825116667,"Pitbull - Feel This Moment (Official Video) ft. Christina Aguilera",PitbullVEVO,704875181,2999847,113202,TRUE,TRUE,481224452,2.2228739,Youtube
Pitbull,"International Love (feat. Chris Brown)","Planet Pit (Deluxe Version)",album,0.67,0.855,-3.035,0.0499,0.0124,0,0.335,0.648,120.05,3.788,"Pitbull - International Love (Official Video) ft. Chris Brown",PitbullVEVO,866480662,2961540,153962,TRUE,TRUE,347393726,2.552238806,Youtube
Pitbull,"Fireball (feat. John Ryan)",Globalization,album,0.761,0.933,-5.38,0.056,0.0908,0.0000853,0.0607,0.836,122.959,3.936666667,"Pitbull - Fireball ft. John Ryan",PitbullVEVO,307624507,1576522,30102,TRUE,TRUE,424022714,15.37067545,Spotify
Pitbull,"We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song] (feat. Jennifer Lopez & Claudia Leitte)",Globalization,album,0.592,0.935,-4.317,0.0581,0.00879,0.0154,0.132,0.567,125.013,3.708666667,"We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song] (Olodum Mix)",PitbullVEVO,894756316,4925915,267026,TRUE,TRUE,222056078,7.083333333,Youtube
Pitbull,"Hotel Room Service","Pitbull Starring In Rebelution",album,0.85,0.631,-8.401,0.227,0.00684,0.000406,0.0679,0.738,126.002,3.96,"Pitbull - Hotel Room Service (Official Video)",PitbullVEVO,313590021,1533812,45324,TRUE,TRUE,374912951,9.293078056,Spotify
Pitbull,"Hey Baby (Drop It to the Floor) (feat. T-Pain)","Planet Pit (Deluxe Version)",album,0.595,0.912,-3.428,0.0884,0.0434,0,0.259,0.762,128.024,3.90755,"Pitbull - Hey Baby (Drop It To The Floor) ft. T-Pain",PitbullVEVO,300032949,1078390,36962,TRUE,TRUE,193172998,3.521235521,Youtube
Pitbull,HOT,LEGENDADDY,album,0.898,0.677,-6.422,0.243,0.0223,0,0.35,0.578,130.027,2.574883333,"Daddy Yankee x Pitbull - Hot (Official Video)","Daddy Yankee",52214351,688783,16459,FALSE,TRUE,52166142,1.934285714,Youtube
"Sean Paul","No Lie","Mad Love The Prequel",album,0.742,0.882,-2.862,0.117,0.0466,0,0.206,0.463,102.04,3.686266667,"Sean Paul - No Lie (Official Music Video) ft. Dua Lipa",SeanPaulVEVO,1120854023,7147862,108564,TRUE,TRUE,851711837,4.281553398,Youtube
"Sean Paul",Temperature,"The Trinity",album,0.951,0.6,-4.675,0.0685,0.106,0,0.0712,0.822,125.04,3.642883333,"Sean Paul - Temperature (Official Video)","Atlantic Records",361314925,2124819,38673,TRUE,TRUE,590578908,8.426966292,Spotify
"Sean Paul","Go Down Deh (feat. Shaggy and Sean Paul)",10,album,0.801,0.764,-5.112,0.0986,0.109,0.0000162,0.247,0.578,89.999,2.569183333,"Spice, Sean Paul, Shaggy - Go Down Deh | Official Music Video",SpiceOfficialVEVO,165860569,2514731,32073,TRUE,TRUE,122450231,3.093117409,Youtube
"Sean Paul","Get Busy","Dutty Rock (20th Anniversary)",album,0.741,0.824,-4.143,0.0352,0.614,0,0.158,0.725,100.216,3.527766667,"Sean Paul - Get Busy/Like Glue (Official Video)","Atlantic Records",208573237,1324227,20700,TRUE,TRUE,381155556,5.215189873,Spotify
"Sean Paul","She Doesn't Mind","Tomahawk Technique",album,0.718,0.776,-5.208,0.0693,0.000624,0.0000053,0.207,0.622,120.015,3.79645,"Sean Paul - She Doesn't Mind (Official Video)","Atlantic Records",505918510,2235710,59894,TRUE,TRUE,266413452,3.748792271,Youtube
"Sean Paul","Give It Up to Me","The Trinity",album,0.855,0.674,-4.328,0.314,0.165,0,0.0548,0.578,95.991,4.03755,"Sean Paul - Give It Up To Me (feat. Keyshia Cole) [Disney Version] (Official Video)","Atlantic Records",306887054,1317175,17399,TRUE,TRUE,49412471,12.29927007,Youtube
